x_width,x_frac_width,x_row,x_col,x_row_depth,x_col_depth,latency_min,latency_max,clock_period,bram,dsp,ff,lut,uram,
7,1,3,8,8,8,67,67,1.721,0,0,156,233,0,
8,1,3,8,8,8,67,67,1.736,0,0,180,257,0,
1,1,4,1,8,8,66,66,1.428,0,0,10,91,0,
2,1,4,1,8,8,67,67,1.55,0,0,16,105,0,
3,1,4,1,8,8,67,67,1.706,0,0,20,97,0,
4,1,4,1,8,8,67,67,1.706,0,0,24,101,0,
5,1,4,1,8,8,67,67,1.779,0,0,28,105,0,
6,1,4,1,8,8,67,67,1.706,0,0,32,109,0,
7,1,4,1,8,8,67,67,1.721,0,0,36,113,0,
8,1,4,1,8,8,67,67,1.736,0,0,40,117,0,
1,1,4,2,8,8,66,66,1.428,0,0,10,91,0,
2,1,4,2,8,8,67,67,1.55,0,0,20,121,0,
3,1,4,2,8,8,67,67,1.706,0,0,28,105,0,
4,1,4,2,8,8,67,67,1.706,0,0,36,113,0,
5,1,4,2,8,8,67,67,1.779,0,0,44,121,0,
6,1,4,2,8,8,67,67,1.706,0,0,52,129,0,
7,1,4,2,8,8,67,67,1.721,0,0,60,137,0,
8,1,4,2,8,8,67,67,1.736,0,0,68,145,0,
1,1,4,3,8,8,66,66,1.428,0,0,10,91,0,
2,1,4,3,8,8,67,67,1.55,0,0,24,137,0,
3,1,4,3,8,8,67,67,1.706,0,0,36,113,0,
4,1,4,3,8,8,67,67,1.706,0,0,48,125,0,
5,1,4,3,8,8,67,67,1.779,0,0,60,137,0,
6,1,4,3,8,8,67,67,1.706,0,0,72,149,0,
7,1,4,3,8,8,67,67,1.721,0,0,84,161,0,
8,1,4,3,8,8,67,67,1.736,0,0,96,173,0,
1,1,4,4,8,8,66,66,1.428,0,0,10,91,0,
2,1,4,4,8,8,67,67,1.55,0,0,28,153,0,
3,1,4,4,8,8,67,67,1.706,0,0,44,121,0,
4,1,4,4,8,8,67,67,1.706,0,0,60,137,0,
5,1,4,4,8,8,67,67,1.779,0,0,76,153,0,
6,1,4,4,8,8,67,67,1.706,0,0,92,169,0,
7,1,4,4,8,8,67,67,1.721,0,0,108,185,0,
8,1,4,4,8,8,67,67,1.736,0,0,124,201,0,
1,1,4,5,8,8,66,66,1.428,0,0,10,91,0,
2,1,4,5,8,8,67,67,1.55,0,0,32,169,0,
3,1,4,5,8,8,67,67,1.706,0,0,52,129,0,
4,1,4,5,8,8,67,67,1.706,0,0,72,149,0,
5,1,4,5,8,8,67,67,1.779,0,0,92,169,0,
6,1,4,5,8,8,67,67,1.706,0,0,112,189,0,
7,1,4,5,8,8,67,67,1.721,0,0,132,209,0,
8,1,4,5,8,8,67,67,1.736,0,0,152,229,0,
1,1,4,6,8,8,66,66,1.428,0,0,10,91,0,
2,1,4,6,8,8,67,67,1.55,0,0,36,185,0,
3,1,4,6,8,8,67,67,1.706,0,0,60,137,0,
4,1,4,6,8,8,67,67,1.706,0,0,84,161,0,
5,1,4,6,8,8,67,67,1.779,0,0,108,185,0,
6,1,4,6,8,8,67,67,1.706,0,0,132,209,0,
7,1,4,6,8,8,67,67,1.721,0,0,156,233,0,
8,1,4,6,8,8,67,67,1.736,0,0,180,257,0,
1,1,4,7,8,8,66,66,1.428,0,0,10,91,0,
2,1,4,7,8,8,67,67,1.55,0,0,40,201,0,
3,1,4,7,8,8,67,67,1.706,0,0,68,145,0,
4,1,4,7,8,8,67,67,1.706,0,0,96,173,0,
5,1,4,7,8,8,67,67,1.779,0,0,124,201,0,
